cust_id,lookalikes
C0001,"[('C0152', 1.0), ('C0174', 0.9937), ('C0085', 0.9835)]"
C0002,"[('C0159', 0.9985), ('C0134', 0.9748), ('C0144', 0.895)]"
C0003,"[('C0129', 0.996), ('C0091', 0.9951), ('C0031', 0.9866)]"
C0004,"[('C0148', 0.9998), ('C0012', 0.9997), ('C0102', 0.9266)]"
C0005,"[('C0140', 0.9993), ('C0007', 0.9885), ('C0095', 0.8888)]"
C0006,"[('C0187', 0.996), ('C0108', 0.9899), ('C0039', 0.9155)]"
C0007,"[('C0005', 0.9885), ('C0140', 0.9821), ('C0177', 0.8751)]"
C0008,"[('C0067', 0.9992), ('C0117', 0.9986), ('C0194', 0.9961)]"
C0009,"[('C0198', 1.0), ('C0010', 0.7579), ('C0132', 0.7475)]"
C0010,"[('C0132', 0.9995), ('C0061', 0.9942), ('C0063', 0.8598)]"
C0011,"[('C0107', 0.9996), ('C0126', 0.9759), ('C0155', 0.9172)]"
C0012,"[('C0004', 0.9997), ('C0148', 0.999), ('C0102', 0.9229)]"
C0013,"[('C0087', 0.9947), ('C0165', 0.9929), ('C0099', 0.9928)]"
C0014,"[('C0060', 0.9993), ('C0097', 0.912), ('C0128', 0.9096)]"
C0015,"[('C0131', 0.9858), ('C0038', 0.9374), ('C0160', 0.9144)]"
C0016,"[('C0183', 1.0), ('C0034', 0.9763), ('C0049', 0.9147)]"
C0017,"[('C0170', 0.9993), ('C0057', 0.999), ('C0182', 0.9989)]"
C0018,"[('C0122', 0.9214), ('C0109', 0.9181), ('C0046', 0.9157)]"
C0019,"[('C0070', 0.9619), ('C0074', 0.8397), ('C0186', 0.8384)]"
C0020,"[('C0094', 0.8001), ('C0033', 0.7727), ('C0058', 0.7661)]"
